方法,模型,是否成功,耗时(s),消息,参数,拟合R2,拟合RMSE,拟合MAE,拟合MAPE(%),检验RMSE,检验MAE,检验MAPE(%)
非线性最小二乘法(curve_fit-TRF),Logistic增长模型,True,0.0015,成功,"[5.227821, 0.038834, 16.22454]",0.9965712660480343,0.13975056865477528,0.11045921767305263,1.0546921009132582,0.259254894678059,0.24914606867919775,1.7936380399492677
信赖域反射法(least_squares-TRF),Logistic增长模型,True,0.002,成功,"[5.227821, 0.038834, 16.22454]",0.9965712652784684,0.1397505843380068,0.11045922577808857,1.05469213568173,0.2592549538560489,0.24914612677484183,1.7936384581920732
有界最小二乘法(least_squares-dogbox),Logistic增长模型,True,0.0013,成功,"[5.227821, 0.038834, 16.22454]",0.9965712650468447,0.13975058905834162,0.11045922825920183,1.0546921476093198,0.25925497166742134,0.24914614429547788,1.7936385843431595
梯度型优化(L-BFGS-B),Logistic增长模型,True,0.0048,成功,"[5.227832, 0.038834, 16.224589]",0.9965711238090738,0.13975346735874744,0.11046064135251298,1.0546954201414651,0.25926583211671844,0.2491567117264779,1.7937146173534293
非线性最小二乘法(curve_fit-TRF),改进指数模型,True,0.0045,成功,"[5.810757, 0.001265, 0.02]",0.9544366799889176,0.5094415589078539,0.354166097591149,3.199481470075634,1.1666458373198987,1.105317770269781,7.945255153916247
信赖域反射法(least_squares-TRF),改进指数模型,True,0.0049,成功,"[5.810757, 0.001265, 0.02]",0.9544366799865469,0.509441558921107,0.35416609759582734,3.1994814700948964,1.1666458373604094,1.1053177703105608,7.945255154210251
有界最小二乘法(least_squares-dogbox),改进指数模型,True,0.0033,成功,"[5.443323, 0.032353, -0.010816]",0.9582185264916898,0.4878413017287429,0.19749563653488536,1.599828201726821,1.2733048883480287,1.0263898261145632,7.331430178845205
梯度型优化(L-BFGS-B),改进指数模型,True,0.0061,成功,"[5.443306, 0.032354, -0.010817]",0.9582091106731432,0.4878962682728597,0.19751418229288215,1.5999457262209693,1.2734523026649822,1.0265257361601667,7.332405036840872
梯度型优化(L-BFGS-B),指数增长模型,True,0.0021,成功,"[6.4153, 0.01307]",0.8773588938991376,0.8358045271157049,0.5936745026826731,5.5174837376783215,1.8859519878675493,1.7821095725222895,12.807905366219725
信赖域反射法(least_squares-TRF),指数增长模型,True,0.0018,成功,"[6.415287, 0.01307]",0.8773571027597266,0.8358106304403162,0.5936782842237355,5.517502553821584,1.8859709217716945,1.7821281991225741,12.808039495841722
有界最小二乘法(least_squares-dogbox),指数增长模型,True,0.0025,成功,"[6.415287, 0.01307]",0.8773570919672196,0.8358106672157516,0.5936783070098475,5.517502667201168,1.8859710358567576,1.7821283113558215,12.808040304030099
非线性最小二乘法(curve_fit-TRF),指数增长模型,True,0.0187,成功,"[6.415286, 0.01307]",0.8773570143049473,0.8358109318496646,0.5936784708917227,5.517503482566125,1.8859718568060448,1.782129119000506,12.808046119863675
