年份,指数增长模型,改进指数模型,Logistic增长模型
1949,6.415300132296568,5.81075696293589,5.2278209812120435
1950,6.499696414144551,5.934472443493303,5.366363367122647
1951,6.585202968659888,6.05849173256325,5.506738709994774
1955,6.938626934010402,6.557618404313155,6.085077228504119
1960,7.407198838487763,7.188431215839612,6.839417090445343
1965,7.907413837737858,7.826983070756819,7.617020411939451
1970,8.441408819263394,8.473346769135487,8.403867292731686
1971,8.552459511080295,8.603563379476448,8.561052151188914
1972,8.664971126827915,8.734095988322183,8.717899721890378
1973,8.778962885645692,8.864945186911934,8.87429327108796
1974,8.894454259509862,8.996111567475285,9.030117421923853
1975,9.011464976559646,9.12759572323372,9.18525849088987
1976,9.130015024467177,9.259398248402189,9.339604813645364
1977,9.250124653851797,9.39151973819067,9.493047058250752
1978,9.371814381739242,9.523960788805736,9.645478524007155
1979,9.495104995066336,9.656721997452124,9.79679542424329
1980,9.620017554231817,9.78980396233431,9.946897151556575
1981,9.746573396693835,9.923207282658074,10.095686524193109
1982,9.874794140614815,10.056932558632088,10.243070012438968
1983,10.004701688554244,10.190980391469482,10.38895794408941
1984,10.13631823121005,10.32535138338944,10.533264688261179
1985,10.269666251209202,10.460046137618772,10.67590881701267
1986,10.40476852694817,10.5950652583935,10.816813244435163
1987,10.54164813648391,10.730409350960452,10.955905343072567
1988,10.680328461476043,10.866079021578846,11.09311703771545
1989,10.820833191180885,11.002074877521897,11.22838487679473
1990,10.963186326498029,11.13839752707839,11.361650081769854
1991,11.10741218407016,11.275047579554302,11.492858575063822
1992,11.2535354004368,11.412025645274378,11.621960987241497
1993,11.401580936242702,11.54933233558376,11.748912644257521
1994,11.551574080501606,11.686968262849568,11.87367353571476
1995,11.703540454916089,11.824934040462523,11.9962082651731
1996,11.857506018254242,11.963230282838552,12.116485983631561
1997,12.013497070783922,12.101857605420397,12.23448030737374
1998,12.171540258765344,12.240816624679237,12.350169221418184
1999,12.331662579002776,12.380107958116303,12.463534969851521
2000,12.493891383456102,12.519732224264489,12.574563934344036
2001,12.65825438391307,12.659690042689993,12.683246502155358
2002,12.824779656722988,12.799982033993917,12.789576924933225
2003,12.99349564759271,12.940608819813923,12.893553169591716
2004,13.1644311764457,13.08157102282583,12.995176762528247
2005,13.337615442345035,13.222869266745283,13.094452628402017
2006,13.513078028481157,13.36450417632934,13.191388924651585
2007,13.690848907225254,13.50647637737817,13.285996872877371
2008,13.87095844524911,13.64878649673663,13.378290588157007
2009,14.053437408712323,13.791435162295954,13.468286907298683
2010,14.238316968517749,13.934423002995372,13.55600521697152
2011,14.42562870563608,14.07775064882377,13.64146728258303
2012,14.615404616500502,14.221418730821323,13.724697078703139
2013,14.80767711847227,14.365427881081171,13.805720621763166
2014,15.002479055378242,14.50977873275105,13.884565805686709
2015,15.199843703121214,14.654471920034965,13.961262241039192
2016,15.399804775364094,14.799508078194838,14.0358410982138
2021,16.43976785751257,15.529855740565147,14.378153090446787
2022,16.6560407134984,15.676963123934575,14.440749853197646
2023,16.875158740331024,15.824417954775178,14.501478760383144
2025,17.322080517167226,16.120372535084268,14.617487826410922
2030,18.49185666086717,16.866384513228077,14.877560472336613
2035,19.740628871177776,17.62121224290331,15.098786387448836
2040,21.073731825655585,18.384937548645723,15.285970645072355
2050,24.016094284327156,19.93941160861868,15.57594750980101
